product_id,product_loaded_at,product_category,product_created_at,prodcut_updated_at,product_title,variant_id,variant_sku,variant_title,variant_created_at,variant_updated_at,variant_option1,variant_option2
5098744447035,7/13/2022 15:03:45,Sheet Sets,1/18/2021 22:26:19,7/13/2022 14:43:56,Percale Simple Stripe Sheet Set,34410293952571,SSQUYDSTRWP,Pewter / Queen,1/18/2021 22:26:22,7/13/2022 13:49:32,,
1994570367035,12/18/2020 14:58:59,Bed Blankets,12/14/2018 20:50:13,12/18/2020 14:31:56,Pickstitch Bed Blanket,19685007622203,BBWPSSDUWTTW,Dune / Twin,12/14/2018 20:50:13,12/17/2020 20:18:01,,
1994570367035,9/12/2020 6:03:40,Bed Blankets,12/14/2018 20:50:13,9/12/2020 5:40:09,Pickstitch Bed Blanket,19685007654971,BBWPSSPWWTTW,Pewter / Twin,12/14/2018 20:50:13,9/6/2020 18:38:51,,
1994570367035,10/12/2020 16:37:01,Bed Blankets,12/14/2018 20:50:13,10/12/2020 16:20:22,Pickstitch Bed Blanket,19685007720507,BBWPSSPWWTFQ,Pewter / Full/Queen,12/14/2018 20:50:13,10/12/2020 16:18:01,,
5034246930491,9/25/2020 15:04:41,Sheet Set,9/18/2020 12:29:34,9/25/2020 14:54:30,Eyelet Sheet Set,34197869985851,SSSSSTRSHSK,Shore / Split King,9/18/2020 12:29:35,9/25/2020 3:15:52,,
4334708260923,11/22/2020 0:32:13,Sheet Sets,11/22/2019 18:25:32,11/22/2020 0:15:46,Signature Eyelet Sheet Set,31097933594683,SSSSSTRPWF,Pewter / Full,11/22/2019 18:26:45,11/21/2020 21:41:19,,
5034246930491,2/22/2021 20:35:30,Sheet Set,9/18/2020 12:29:34,2/22/2021 20:09:22,Signature Eyelet Sheet Set,34197870018619,SSSSSTRPWTW,Pewter / Twin,9/18/2020 12:29:35,2/3/2021 17:27:41,,
6587283144763,5/30/2021 21:02:24,Sheet Sets,5/20/2021 22:12:50,5/30/2021 20:35:57,Blush Signature Hemmed Sheet Set,39425624801339,SSSGCHBHKGS,Blush / King w/ Std. Cases,5/20/2021 22:12:52,5/30/2021 19:36:37,,
6587283144763,7/25/2021 5:32:48,Sheet Sets,5/20/2021 22:12:50,7/25/2021 4:59:02,Blush Signature Hemmed Sheet Set,39425624703035,SSSGCHBHFL,Blush / Full,5/20/2021 22:12:52,7/25/2021 4:59:02,,
6587283144763,8/19/2021 1:35:52,Sheet Sets,5/20/2021 22:12:50,8/19/2021 1:16:19,Blush Signature Hemmed Sheet Set,39425624735803,SSSGCHBHQN,Blush / Queen,5/20/2021 22:12:52,8/18/2021 23:57:01,,
6587283144763,6/8/2021 16:01:21,Sheet Sets,5/20/2021 22:12:50,6/8/2021 15:45:32,Blush Signature Hemmed Sheet Set,39425624670267,SSSGCHBHTX,Blush / Twin XL,5/20/2021 22:12:52,6/7/2021 15:07:31,,
5059983507515,1/4/2021 21:03:23,Accessories,11/5/2020 19:41:26,1/4/2021 20:45:52,Face Mask,34285416906811,AISGFACEWTOS,Grey Hugs & Kisses,11/5/2020 19:51:29,1/4/2021 4:42:20,,
